0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,gender,label
-254.649,79.42945,-22.592579,64.86672,-49.41248,-1.9964553,-29.40174,-16.42495,-11.666932,-16.654684,-3.9830117,-23.46856,-8.816263,-5.3866777,-3.6396978,-13.9669075,-8.147159,-10.226561,-12.20726,-8.143168,-9.960152,-10.82049,-9.158654,-1.0954213,-1.7164252,8.079211,12.038863,13.751665,11.303211,1.3479002,-4.531345,-2.5058563,-1.2906452,-0.5846946,0.43359396,-5.292261,-3.8733675,-3.1483274,1.9106561,male,child
-259.45795,56.244137,-32.998024,47.487114,-43.126453,-11.058728,-28.76746,-16.271772,-15.404397,-20.333406,-1.3330722,-8.627873,-0.18103728,-6.594095,-6.0440226,-8.39987,-5.4703984,-10.9378605,-13.547514,-3.0454519,-2.286109,-0.17902537,6.8309493,7.9676094,8.218703,5.9370775,5.014836,8.547197,1.6564188,4.6638823,-5.416219,-9.490027,-0.25353462,-4.6112328,-3.898864,-3.694552,-2.6036334,-1.0855469,-0.76922184,male,child
-272.4408,68.19661,-25.938837,43.375404,-54.54079,-7.41587,-27.546362,-5.89509,-0.12258583,-22.813612,1.1006141,-13.752274,-3.4428146,-8.541137,-23.848595,-15.019633,-9.634057,-9.62702,-2.5158894,-4.6404743,-4.053312,-2.2786958,1.9819622,2.6533923,-1.542487,7.763468,2.895765,2.2237113,-0.21832052,-4.8693337,-3.8909063,-3.1688678,-2.8771918,-2.5882592,-0.61790144,-5.445846,1.9156954,0.5381021,-1.0299195,male,child
-278.52252,88.36092,-15.519645,24.846628,-50.746597,-13.915121,-32.41385,-10.922202,-0.14704087,-17.2252,5.244209,-14.790013,-12.248877,-2.6478357,-9.761864,-9.725876,-9.570522,-13.846864,-12.679538,-8.066,-3.347133,-6.8151217,-7.287305,-2.3361487,-1.3307112,5.1872454,10.461012,9.782958,2.5704043,3.9577394,-0.112839706,-4.340818,0.5341709,-1.0443269,-4.474238,-2.9557252,0.52408475,-4.5385284,0.6677271,male,child
-335.3553,72.08695,-6.283057,28.446228,-41.61897,-15.350187,-19.991085,-5.5405593,2.2467878,-11.15448,-4.8506236,-10.102387,-9.285831,-5.297041,-7.7994475,-19.269926,-13.376379,-12.574917,-10.181198,-0.2622179,-1.9567777,-3.7669632,-0.75144273,-6.113449,-5.1683035,2.8495235,-2.428279,0.70550996,2.2350535,-0.9477034,-0.61526436,0.2271434,3.0922666,3.1694052,-1.5273046,-1.9212817,-0.6809488,-3.4997163,1.634984,male,child
-320.24744,99.41359,2.491745,32.609,-41.338287,-8.929944,-21.731787,-8.319841,-9.648814,-24.758358,-1.3763119,-9.898436,-13.2821045,-9.976186,-4.768754,-14.13324,-12.92974,-5.1337523,-15.09204,-9.472908,-4.685011,-9.93388,-3.382039,-9.510989,-1.9146253,7.876753,1.952684,12.5667,0.89532834,-2.5698752,4.819059,-3.8224933,-2.7463212,3.4759247,2.6461065,-6.060914,-1.3491377,-1.3334458,-3.6552005,male,child
-257.38968,73.28722,-48.796318,33.957123,-48.69841,-14.943771,-18.369867,-15.770188,-12.417933,-12.633738,3.475461,-16.022324,-9.931903,-2.3016305,-12.163262,-15.286247,-6.1483765,-11.084229,-6.5481544,-0.85773,-2.4461317,0.028048353,4.033279,7.0484686,5.3297186,5.910354,0.7487414,4.181423,4.1373796,-0.44033423,-3.5915258,-4.6537385,-2.608865,-1.5107589,-1.2799941,-4.9643245,-2.2859561,-2.3330448,-0.8723111,male,child
-240.05681,75.06519,-15.946056,32.797207,-55.57187,-3.379788,-24.633549,-17.107237,-8.06206,-7.3447337,-2.5264509,-11.453137,0.7372009,-12.544321,-14.251815,-8.470442,-5.652432,-15.872791,-2.892905,-1.85004,-6.6538515,1.9515123,-2.4636512,-2.0837164,-4.8041506,2.0481384,1.6634238,4.742941,8.475475,3.5157201,1.7081949,0.2982846,-1.9396374,-4.3717256,-1.824696,-3.0307753,-3.00336,-3.9429631,-2.129251,male,child
-260.01788,83.89507,-32.8378,17.796034,-60.66634,0.9841467,-23.514086,-17.641195,-10.552813,-11.774739,5.1762686,-23.794554,-10.549981,-7.4497724,-24.780113,-11.588123,-1.0837953,-11.089637,-7.2930584,-9.691686,0.9966039,4.530467,-2.4008536,-0.8410386,-3.645792,3.0777361,4.338724,7.2868605,0.8821853,1.0665183,0.5687817,-0.16345043,-1.2741708,-7.28232,-3.2706945,-7.461221,-2.8997037,-0.4149852,1.486996,male,child
-313.86032,83.68611,6.878078,33.51012,-24.886215,-17.922188,-26.903816,-10.523678,0.33051774,-16.457863,-4.106926,-3.5162249,-6.976843,-5.4780054,-9.520917,-10.127453,-8.052063,-12.09072,-8.344889,-7.586784,-5.693066,-9.059774,-10.561083,-5.4122896,-11.829951,-5.5355673,-2.5368176,-4.669473,2.2825868,4.865531,6.9595785,11.259621,5.837742,-0.059717093,-1.5563668,-4.9766574,-1.3133066,-2.4730368,-0.5489454,male,child
